name,rank,count,pct
CALDERON,421,"77,085",0.000638
QUINN,422,"76,986",0.000637
MOSS,423,"76,908",0.000636
SWANSON,424,"76,897",0.000636
CHAN,425,"76,664",0.000634
RIVAS,426,"76,205",0.000631
KHAN,427,"76,171",0.000630
RODGERS,428,"76,095",0.000630
SERRANO,429,"75,996",0.000629
FITZGERALD,430,"75,356",0.000624
ROSALES,431,"75,185",0.000622
STEVENSON,432,"75,169",0.000622
CHRISTENSEN,433,"75,143",0.000622
MANNING,434,"74,949",0.000620
GILL,435,"74,948",0.000620
CURRY,436,"74,919",0.000620
MCLAUGHLIN,437,"74,816",0.000619
HARMON,438,"74,737",0.000618
MCGEE,439,"74,542",0.000617
GROSS,440,"74,503",0.000617
DOYLE,441,"74,458",0.000616
GARNER,442,"74,324",0.000615
NEWTON,443,"74,092",0.000613
BURGESS,444,"73,931",0.000612
REESE,445,"73,919",0.000612
WALTON,446,"73,854",0.000611
BLAKE,447,"73,797",0.000611
TRUJILLO,448,"73,664",0.000610
ADKINS,449,"73,599",0.000609
BRADY,450,"73,145",0.000605
GOODMAN,451,"73,136",0.000605
ROMAN,452,"72,918",0.000603
WEBSTER,453,"72,625",0.000601
GOODWIN,454,"72,451",0.000600
FISCHER,455,"72,357",0.000599
HUANG,456,"72,328",0.000599
POTTER,457,"72,175",0.000597
DELACRUZ,458,"72,109",0.000597
MONTOYA,459,"71,844",0.000594
TODD,460,"71,759",0.000594
WU,461,"71,721",0.000593
HINES,462,"71,717",0.000593
MULLINS,463,"71,646",0.000593
CASTANEDA,464,"71,368",0.000591
MALONE,465,"71,286",0.000590
CANNON,466,"71,085",0.000588
TATE,467,"71,058",0.000588
MACK,468,"71,056",0.000588
SHERMAN,469,"70,502",0.000583
HUBBARD,470,"70,362",0.000582
HODGES,471,"70,223",0.000581
ZHANG,472,"70,125",0.000580
GUERRA,473,"70,071",0.000580
WOLF,474,"70,031",0.000579
VALENCIA,475,"70,000",0.000579
SAUNDERS,476,"69,943",0.000579
FRANCO,476,"69,943",0.000579
ROWE,478,"69,879",0.000578
GALLAGHER,479,"69,834",0.000578
FARMER,480,"69,617",0.000576
HAMMOND,481,"69,515",0.000575
HAMPTON,482,"69,472",0.000575
TOWNSEND,483,"69,360",0.000574
INGRAM,484,"69,345",0.000574
WISE,485,"68,649",0.000568
GALLEGOS,486,"68,373",0.000566
CLARKE,487,"68,281",0.000565
BARTON,488,"68,233",0.000565
SCHROEDER,489,"67,977",0.000562
MAXWELL,490,"67,961",0.000562
WATERS,491,"67,929",0.000562
LOGAN,492,"67,909",0.000562
CAMACHO,493,"67,893",0.000562
STRICKLAND,494,"67,769",0.000561
NORMAN,495,"67,704",0.000560
PERSON,496,"67,411",0.000558
COLON,497,"67,338",0.000557
PARSONS,498,"67,310",0.000557
FRANK,499,"67,304",0.000557
HARRINGTON,500,"66,959",0.000554
GLOVER,501,"66,858",0.000553
OSBORNE,502,"66,827",0.000553
BUCHANAN,503,"66,648",0.000552
CASEY,504,"66,556",0.000551
FLOYD,505,"66,454",0.000550
PATTON,506,"66,293",0.000549
IBARRA,507,"66,063",0.000547
BALL,508,"66,059",0.000547
TYLER,509,"66,056",0.000547
SUAREZ,510,"66,013",0.000546
BOWERS,511,"66,003",0.000546
OROZCO,512,"65,904",0.000545
SALAS,513,"65,468",0.000542
COBB,514,"65,125",0.000539
GIBBS,515,"65,064",0.000538
ANDRADE,516,"65,037",0.000538
BAUER,517,"65,004",0.000538
CONNER,518,"64,572",0.000534
MOODY,519,"64,429",0.000533
ESCOBAR,520,"64,403",0.000533
MCGUIRE,521,"64,327",0.000532
LLOYD,522,"64,202",0.000531
MUELLER,523,"64,191",0.000531
HARTMAN,524,"64,106",0.000530
FRENCH,525,"63,991",0.000530
KRAMER,526,"63,936",0.000529
MCBRIDE,527,"63,899",0.000529
POPE,528,"63,881",0.000529
LINDSEY,529,"63,760",0.000528
VELAZQUEZ,530,"63,736",0.000527
NORTON,531,"63,722",0.000527
MCCORMICK,532,"63,649",0.000527
SPARKS,533,"63,440",0.000525
FLYNN,534,"63,400",0.000525
YATES,535,"63,254",0.000523
HOGAN,536,"63,085",0.000522
MARSH,537,"62,304",0.000516
MACIAS,538,"62,227",0.000515
VILLANUEVA,539,"61,883",0.000512
ZAMORA,540,"61,729",0.000511
PRATT,541,"61,671",0.000510
STOKES,542,"61,639",0.000510
OWEN,543,"61,630",0.000510
BALLARD,544,"61,625",0.000510
LANG,545,"61,529",0.000509
BROCK,546,"61,369",0.000508
